Ingredient_Name,canonical_group_id,Primary_Function,Ingredient_Category,Origin,Regulatory_Status,Safety_Level_true,Safety_Level_pred,Safety_Level_correct,Safety_Level_confidence,Allergy_Risk_true,Allergy_Risk_pred,Allergy_Risk_correct,Allergy_Risk_confidence,Irritation_Risk_true,Irritation_Risk_pred,Irritation_Risk_correct,Irritation_Risk_confidence
Glycerin,Glycerin,Humectant,Humectant,Naturally Derived,Approved,Very Safe,Safe,False,0.775068259407855,Low,Low,True,0.9892459907999159,No Risk,Low,False,0.7148838530157253
Sodium PCA,Sodium PCA,Humectant,Humectant,Biotechnology Derived,Approved,Safe,Safe,True,0.6751616717775127,Low,No Risk,False,0.8185473269406512,No Risk,Low,False,0.6246476021050313
Propanediol,Propanediol,Humectant,Humectant,Naturally Derived,Approved,Safe,Safe,True,0.6605708598822212,Low,Low,True,0.9590396284357995,No Risk,No Risk,True,0.9515684980925648
Sorbitol,Sorbitol,Humectant,Sugar,Naturally Derived,Approved,Very Safe,Very Safe,True,0.7066638632373096,No Risk,Low,False,0.9560575578727734,No Risk,No Risk,True,0.9072794308896147
Glyceryl Glucoside,Glyceryl Glucoside,Humectant,Sugar,Naturally Derived,Approved,Safe,Very Safe,False,0.696483100574091,Low,Low,True,0.9294290670889893,No Risk,No Risk,True,0.9886724857964077
Trehalose,Trehalose,Humectant,Sugar,Naturally Derived,Approved,Very Safe,Safe,False,0.9997877615834151,No Risk,Low,False,0.999551600337478,No Risk,No Risk,True,0.9991180016096145
Xylitol,Xylitol,Humectant,Sugar,Naturally Derived,Approved,Very Safe,Safe,False,0.8746414108921082,Low,Low,True,0.7337572168712314,No Risk,No Risk,True,0.9792139818009884
Xylitylglucoside,Xylitylglucoside,Humectant,Sugar,Biotechnology Derived,Approved,Safe,Very Safe,False,0.5092318666302348,Low,Low,True,0.9197001704520141,No Risk,No Risk,True,0.9709425891565007
Anhydroxylitol,Anhydroxylitol,Humectant,Sugar,Biotechnology Derived,Approved,Safe,Safe,True,0.5450213426989765,Low,Low,True,0.8171230464745879,No Risk,No Risk,True,0.8968867684269085
Inulin,Inulin,Humectant,Sugar,Natural,Approved,Safe,Safe,True,0.9952277492142679,Low,Low,True,0.686661799343316,No Risk,No Risk,True,0.996227991810641
Sodium Lactate,Sodium Lactate,Humectant,Salt,Naturally Derived,Approved,Safe,Very Safe,False,0.9495899386654979,Low,No Risk,False,0.5317915863261418,Low,Low,True,0.6810280170475586
Polyglutamic Acid,Polyglutamic Acid,Humectant,Polymer,Biotechnology Derived,Approved,Safe,Very Safe,False,0.5342804046403162,Low,No Risk,False,0.9065897144022546,No Risk,No Risk,True,0.9947642257034848
Beta-Glucan,Beta-Glucan,Humectant,Polymer,Naturally Derived,Approved,Safe,Very Safe,False,0.8577076109891957,Low,Low,True,0.9844711255400427,No Risk,No Risk,True,0.9961398928093678
Betaine,Betaine,Humectant,Amino Acid,Naturally Derived,Approved,Safe,Safe,True,0.7813176532263932,Low,Low,True,0.8424241752267647,No Risk,Low,False,0.9258798077664191
Urea,Urea,Humectant,Humectant,Synthetic,Approved,Safe,Safe,True,0.6444045369711388,Low,Low,True,0.5350280462128193,Medium,Low,False,0.7821428741273005
Honey (Mel),Honey (Mel),Humectant,Natural Ingredient,Natural,Approved,Safe,Safe,True,0.7329998399215855,Medium,Low,False,0.7860768274614892,Low,No Risk,False,0.6786551053127339
Aloe Barbadensis Leaf Juice,Aloe Barbadensis Leaf Juice,Humectant,Plant Extract,Natural,Approved,Very Safe,Safe,False,0.8102258431861212,Low,Low,True,0.9216510637120963,No Risk,No Risk,True,0.927936195583714
Sodium Hyaluronate,Sodium Hyaluronate,Humectant,Polymer,Biotechnology Derived,Approved,Very Safe,Safe,False,0.6818023430376607,No Risk,No Risk,True,0.9769834002148893,No Risk,No Risk,True,0.9958535627492945
Hyaluronic Acid,Hyaluronic Acid,Humectant,Polymer,Biotechnology Derived,Approved,Very Safe,Safe,False,0.6266202402558039,No Risk,No Risk,True,0.650849939676931,No Risk,No Risk,True,0.9169261193388819
Sodium Hyaluronate Crosspolymer,Sodium Hyaluronate Crosspolymer,Humectant,Polymer,Biotechnology Derived,Approved,Safe,Safe,True,0.9563553984893732,No Risk,No Risk,True,0.8082768748257321,No Risk,No Risk,True,0.9969448440661366
Panthenol,Panthenol,Humectant,Vitamin,Synthetic,Approved,Very Safe,Very Safe,True,0.9757084637323885,Low,No Risk,False,0.8032930863665149,No Risk,No Risk,True,0.88372444311069
Dexpanthenol,Dexpanthenol,Conditioning Agent,Vitamin,Synthetic,Approved,Very Safe,Safe,False,0.931469919273204,Low,Low,True,0.9766846132453477,No Risk,No Risk,True,0.9768766442496354
Caprylic/Capric Triglyceride,Caprylic/Capric Triglyceride,Emollient,Oil,Naturally Derived,Approved,Very Safe,Safe,False,0.8465624811782869,Low,Low,True,0.9964950792849678,No Risk,No Risk,True,0.7537571474668249
Isopropyl Myristate,Isopropyl Myristate,Emollient,Emollient,Synthetic,Approved,Safe,Safe,True,0.9981328586162641,Low,Low,True,0.9976964819121784,Low,No Risk,False,0.8343815819773367
Isopropyl Palmitate,Isopropyl Palmitate,Emollient,Emollient,Synthetic,Approved,Safe,Safe,True,0.9958846289386919,Low,Low,True,0.9735817839226405,Low,Low,True,0.8683579336614268
Cetyl Alcohol,Cetyl Alcohol,Emollient,Fatty Alcohol,Naturally Derived,Approved,Very Safe,Very Safe,True,0.6787405051425496,Low,Low,True,0.9731738145562125,No Risk,No Risk,True,0.982658455333281
Stearyl Alcohol,Stearyl Alcohol,Emollient,Fatty Alcohol,Naturally Derived,Approved,Very Safe,Very Safe,True,0.7871855236389457,Low,Low,True,0.9836052608373901,No Risk,No Risk,True,0.9050946861403312
Cetearyl Alcohol,Cetearyl Alcohol,Emollient,Fatty Alcohol,Naturally Derived,Approved,Very Safe,Safe,False,0.8649759517975311,Low,Low,True,0.9807822401697445,No Risk,No Risk,True,0.794247608285624
Behenyl Alcohol,Behenyl Alcohol,Emollient,Fatty Alcohol,Naturally Derived,Approved,Safe,Very Safe,False,0.8649890211590219,Low,Low,True,0.9983205272015248,No Risk,No Risk,True,0.6990576706097946
Myristyl Alcohol,Myristyl Alcohol,Emollient,Fatty Alcohol,Naturally Derived,Approved,Safe,Very Safe,False,0.5656000230239894,Low,Low,True,0.9504636099834401,No Risk,No Risk,True,0.944993262848596
Lauryl Alcohol,Lauryl Alcohol,Emollient,Fatty Alcohol,Naturally Derived,Approved,Safe,Safe,True,0.8436369242180515,Low,Low,True,0.9867724765021023,Low,No Risk,False,0.9084083704639752
Squalane,Squalane,Emollient,Oil,Naturally Derived,Approved,Very Safe,Safe,False,0.6169004366267977,Low,Low,True,0.9989368439116004,No Risk,No Risk,True,0.9189561244969018
Squalene,Squalene,Emollient,Oil,Animal Derived,Approved,Safe,Safe,True,0.959639477654722,Low,Low,True,0.9787757342510759,No Risk,No Risk,True,0.8297417758532756
Simmondsia Chinensis Seed Oil (Jojoba Oil),Simmondsia Chinensis Seed Oil (Jojoba Oil),Emollient,Oil,Natural,Approved,Very Safe,Safe,False,0.8732597487189018,Low,Low,True,0.9809168480849,No Risk,No Risk,True,0.9695489094981854
Cocos Nucifera Oil (Coconut Oil),Cocos Nucifera Oil (Coconut Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.661410694986319,Medium,Low,False,0.9876413882016261,Low,Low,True,0.9097256345329595
Prunus Amygdalus Dulcis Oil (Sweet Almond Oil),Prunus Amygdalus Dulcis Oil (Sweet Almond Oil),Emollient,Oil,Natural,Approved,Safe,Very Safe,False,0.5603825805309866,Medium,Low,False,0.8549664278568793,Low,No Risk,False,0.7277172222212424
Argania Spinosa Kernel Oil (Argan Oil),Argania Spinosa Kernel Oil (Argan Oil),Emollient,Oil,Natural,Approved,Very Safe,Safe,False,0.8887465942768416,Low,Low,True,0.9909173004688487,No Risk,No Risk,True,0.6874482245899652
Butyrospermum Parkii Butter (Shea Butter),Butyrospermum Parkii Butter (Shea Butter),Emollient,Butter,Natural,Approved,Very Safe,Safe,False,0.9912058172883875,Low,Low,True,0.9948356009546284,No Risk,No Risk,True,0.9626238944563992
Theobroma Cacao Seed Butter (Cocoa Butter),Theobroma Cacao Seed Butter (Cocoa Butter),Emollient,Butter,Natural,Approved,Safe,Safe,True,0.9984270646403777,Medium,Low,False,0.9807841336458782,Low,No Risk,False,0.9785240212017949
Paraffinum Liquidum (Mineral Oil),Paraffinum Liquidum (Mineral Oil),Occlusive,Oil,Mineral,Approved,Safe,Very Safe,False,0.9475288327347476,Low,Low,True,0.9741127027708941,No Risk,Low,False,0.7183734368790441
Petrolatum,Petrolatum,Occlusive,Wax,Mineral,Approved,Very Safe,Safe,False,0.9045828595259273,Low,Low,True,0.9922666965155833,No Risk,No Risk,True,0.6549160000034691
Dimethicone,Dimethicone,Occlusive,Silicone,Synthetic,Approved,Very Safe,Safe,False,0.948988033250796,Low,Low,True,0.9661165649404514,No Risk,No Risk,True,0.9944911928923339
Cyclomethicone,Cyclomethicone,Emollient,Silicone,Synthetic,Approved,Safe,Safe,True,0.9751373496135619,Low,Low,True,0.996675920885381,No Risk,No Risk,True,0.997695410980864
Cyclopentasiloxane,Cyclopentasiloxane,Emollient,Silicone,Synthetic,Country Restricted,Safe,Safe,True,0.9549564095582344,Low,Low,True,0.9954327613382719,No Risk,No Risk,True,0.9931454486291766
Cyclohexasiloxane,Cyclohexasiloxane,Emollient,Silicone,Synthetic,Country Restricted,Safe,Moderate Risk,False,0.5580279571262083,Low,Low,True,0.9609432783487035,No Risk,No Risk,True,0.9795697694264802
Isohexadecane,Isohexadecane,Emollient,Emollient,Synthetic,Approved,Safe,Safe,True,0.9969156588070169,Low,Low,True,0.9753495601071407,No Risk,No Risk,True,0.9354806180408187
Octyldodecanol,Octyldodecanol,Emollient,Fatty Alcohol,Synthetic,Approved,Safe,Safe,True,0.9836898161389521,Low,Low,True,0.9969554516930603,Low,No Risk,False,0.7011193510230799
PPG-15 Stearyl Ether,PPG-15 Stearyl Ether,Emollient,Emollient,Synthetic,Approved,Safe,Safe,True,0.9948734667989693,Low,Low,True,0.970819315848519,Low,No Risk,False,0.9666139205111051
Butyl Stearate,Butyl Stearate,Emollient,Emollient,Synthetic,Approved,Safe,Safe,True,0.9977893513169565,Low,Low,True,0.9918033821654008,No Risk,No Risk,True,0.9672205568426363
Isononyl Isononanoate,Isononyl Isononanoate,Emollient,Emollient,Synthetic,Approved,Safe,Safe,True,0.9998029593920906,Low,Low,True,0.9862506664090193,No Risk,No Risk,True,0.979213579208733
C12-15 Alkyl Benzoate,C12-15 Alkyl Benzoate,Emollient,Emollient,Synthetic,Approved,Safe,Safe,True,0.999528291750317,Low,Low,True,0.9149580708045566,No Risk,No Risk,True,0.8997768094795389
Diisopropyl Adipate,Diisopropyl Adipate,Emollient,Emollient,Synthetic,Approved,Safe,Safe,True,0.9996712715354116,Low,Low,True,0.9719585306445991,No Risk,No Risk,True,0.8357206928580688
Dicaprylyl Carbonate,Dicaprylyl Carbonate,Emollient,Emollient,Naturally Derived,Approved,Safe,Safe,True,0.9998953451036694,Low,Low,True,0.9930761076143746,No Risk,No Risk,True,0.9992388714748042
Ethylhexyl Palmitate,Ethylhexyl Palmitate,Emollient,Emollient,Synthetic,Approved,Safe,Safe,True,0.9999627423594454,Low,Low,True,0.9985462156008463,No Risk,No Risk,True,0.8507564441694678
Glyceryl Stearate,Glyceryl Stearate,Emulsifier,Emulsifier,Naturally Derived,Approved,Very Safe,Safe,False,0.9643858324715537,Low,Low,True,0.8227476954827154,No Risk,No Risk,True,0.9963361321956002
Olea Europaea Fruit Oil (Olive Oil),Olea Europaea Fruit Oil (Olive Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.8989988360058213,Low,Low,True,0.9960714375218503,No Risk,Low,False,0.8394413030620184
Helianthus Annuus Seed Oil (Sunflower Oil),Helianthus Annuus Seed Oil (Sunflower Oil),Emollient,Oil,Natural,Approved,Very Safe,Safe,False,0.9215589873743248,Low,Low,True,0.9911340593889217,No Risk,No Risk,True,0.5742281209725639
Sesamum Indicum Seed Oil (Sesame Oil),Sesamum Indicum Seed Oil (Sesame Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9744429145931984,Medium,Low,False,0.8289649200557141,Low,No Risk,False,0.7362697569799345
Ricinus Communis Seed Oil (Castor Oil),Ricinus Communis Seed Oil (Castor Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9964368496713963,Low,Medium,False,0.7960666182041829,Low,No Risk,False,0.8653181074546344
Vitis Vinifera Seed Oil (Grapeseed Oil),Vitis Vinifera Seed Oil (Grapeseed Oil),Emollient,Oil,Natural,Approved,Very Safe,Safe,False,0.9894186040438897,Low,Low,True,0.9914472562445642,No Risk,No Risk,True,0.9683949181265705
Prunus Armeniaca Kernel Oil (Apricot Kernel Oil),Prunus Armeniaca Kernel Oil (Apricot Kernel Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9506232771466644,Low,Low,True,0.7679944862044981,No Risk,No Risk,True,0.8488005981395588
Persea Gratissima Oil (Avocado Oil),Persea Gratissima Oil (Avocado Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9891735471257279,Low,Low,True,0.8642609523199598,No Risk,No Risk,True,0.936504054908252
Oryza Sativa Bran Oil (Rice Bran Oil),Oryza Sativa Bran Oil (Rice Bran Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9803729443852619,Low,Low,True,0.9894365221769778,No Risk,No Risk,True,0.8531817412698406
Macadamia Ternifolia Seed Oil,Macadamia Ternifolia Seed Oil,Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9626812644491597,Low,Low,True,0.7862050240759105,No Risk,No Risk,True,0.8694230053643699
Limnanthes Alba Seed Oil (Meadowfoam Seed Oil),Limnanthes Alba Seed Oil (Meadowfoam Seed Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9809243830552603,Low,Low,True,0.9631105727575211,No Risk,No Risk,True,0.9738076511168595
Carthamus Tinctorius Seed Oil (Safflower Oil),Carthamus Tinctorius Seed Oil (Safflower Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9969280190910644,Low,Low,True,0.9655210510965014,No Risk,No Risk,True,0.8046688741273307
Triticum Vulgare Germ Oil (Wheat Germ Oil),Triticum Vulgare Germ Oil (Wheat Germ Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9568331610801365,Medium,Low,False,0.917839456415677,Low,No Risk,False,0.9808347563301271
Oenothera Biennis Oil (Evening Primrose Oil),Oenothera Biennis Oil (Evening Primrose Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.7811970532577358,Low,Low,True,0.9754646439621387,No Risk,No Risk,True,0.5787140088890773
Rosa Canina Fruit Oil (Rosehip Oil),Rosa Canina Fruit Oil (Rosehip Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9880948304219016,Low,Low,True,0.9911862863920636,No Risk,No Risk,True,0.9915272890822215
Sclerocarya Birrea Seed Oil (Marula Oil),Sclerocarya Birrea Seed Oil (Marula Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9963380353939328,Low,Low,True,0.9313654533068002,No Risk,No Risk,True,0.9062487511306062
Calophyllum Inophyllum Seed Oil (Tamanu Oil),Calophyllum Inophyllum Seed Oil (Tamanu Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9355302329567542,Low,Low,True,0.9356859937623088,Low,No Risk,False,0.8272172479144511
Azadirachta Indica Seed Oil (Neem Oil),Azadirachta Indica Seed Oil (Neem Oil),Antimicrobial,Oil,Natural,Approved,Safe,Safe,True,0.9418273274814409,Medium,Medium,True,0.9646986417031705,Low,Low,True,0.607310789005286
Garcinia Indica Seed Butter (Kokum Butter),Garcinia Indica Seed Butter (Kokum Butter),Emollient,Butter,Natural,Approved,Safe,Safe,True,0.9682821021319412,Low,Low,True,0.9583024946182821,No Risk,No Risk,True,0.9936452549936654
Mangifera Indica Seed Butter (Mango Butter),Mangifera Indica Seed Butter (Mango Butter),Emollient,Butter,Natural,Approved,Safe,Very Safe,False,0.6828791928806848,Low,Low,True,0.9776001882804524,No Risk,No Risk,True,0.8652139996706605
Shorea Robusta Seed Butter (Illipe Butter),Shorea Robusta Seed Butter (Illipe Butter),Emollient,Butter,Natural,Approved,Safe,Safe,True,0.9724773636489245,Low,Low,True,0.96418123263285,No Risk,No Risk,True,0.948021345585339
Astrocaryum Murumuru Seed Butter,Astrocaryum Murumuru Seed Butter,Emollient,Butter,Natural,Approved,Safe,Safe,True,0.9378395833267565,Low,Low,True,0.994359986478215,No Risk,No Risk,True,0.9657601103892955
Cannabis Sativa Seed Oil (Hemp Seed Oil),Cannabis Sativa Seed Oil (Hemp Seed Oil),Emollient,Oil,Natural,Country Restricted,Safe,Safe,True,0.7333540121877554,Low,Medium,False,0.7031699096730619,No Risk,No Risk,True,0.6472563118387358
Linum Usitatissimum Seed Oil (Flaxseed Oil),Linum Usitatissimum Seed Oil (Flaxseed Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9868026703163607,Low,Low,True,0.7299397929055154,No Risk,No Risk,True,0.8177482228694094
Cucurbita Pepo Seed Oil (Pumpkin Seed Oil),Cucurbita Pepo Seed Oil (Pumpkin Seed Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9890230279589225,Low,Low,True,0.9588318360816809,No Risk,No Risk,True,0.9748544427531834
Juglans Regia Seed Oil (Walnut Oil),Juglans Regia Seed Oil (Walnut Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9552285310926271,Medium,Low,False,0.5254527931914384,Low,Low,True,0.5975836519373041
Citrullus Lanatus Seed Oil (Watermelon Seed Oil),Citrullus Lanatus Seed Oil (Watermelon Seed Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9730034438984443,Low,Low,True,0.9840269116668966,No Risk,No Risk,True,0.9354654158621031
Camellia Oleifera Seed Oil,Camellia Oleifera Seed Oil,Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9575232235126747,Low,Low,True,0.8436870381182973,No Risk,No Risk,True,0.7228789714157321
Adansonia Digitata Seed Oil (Baobab Oil),Adansonia Digitata Seed Oil (Baobab Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9720409644979979,Low,Low,True,0.8596748902644934,No Risk,No Risk,True,0.7012430374062564
Aleurites Moluccanus Seed Oil (Kukui Nut Oil),Aleurites Moluccanus Seed Oil (Kukui Nut Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9753670298753995,Low,Medium,False,0.5925712532024733,No Risk,Low,False,0.5758698225459709
Brassica Oleracea Italica Seed Oil (Broccoli Seed Oil),Brassica Oleracea Italica Seed Oil (Broccoli Seed Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9868323681136997,Low,Low,True,0.9940771105233076,No Risk,No Risk,True,0.9936056124092119
Salvia Hispanica Seed Oil (Chia Seed Oil),Salvia Hispanica Seed Oil (Chia Seed Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.990384586182838,Low,Low,True,0.9914418985770993,No Risk,No Risk,True,0.9881427574660244
Punica Granatum Seed Oil (Pomegranate Seed Oil),Punica Granatum Seed Oil (Pomegranate Seed Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9814290249095086,Low,Low,True,0.9905714136821531,No Risk,No Risk,True,0.976766039228386
Nigella Sativa Seed Oil (Black Cumin Seed Oil),Nigella Sativa Seed Oil (Black Cumin Seed Oil),Emollient,Oil,Natural,Approved,Safe,Safe,True,0.9590730774831749,Medium,Low,False,0.8733456423026053,Low,No Risk,False,0.903565833403596
Beeswax (Cera Alba),Beeswax (Cera Alba),Occlusive,Wax,Animal Derived,Approved,Safe,Safe,True,0.9916174781758884,Medium,Low,False,0.8655170010464731,No Risk,No Risk,True,0.9959283965913851
Candelilla Wax (Euphorbia Cerifera),Candelilla Wax (Euphorbia Cerifera),Occlusive,Wax,Natural,Approved,Safe,Safe,True,0.99874859088992,Low,Low,True,0.9205470913457895,No Risk,No Risk,True,0.999484562703345
Carnauba Wax (Copernicia Cerifera),Carnauba Wax (Copernicia Cerifera),Occlusive,Wax,Natural,Approved,Safe,Safe,True,0.9876047344307898,Low,Low,True,0.8313424625382962,No Risk,No Risk,True,0.9969986119156937
Lanolin,Lanolin,Occlusive,Wax,Animal Derived,Approved,Safe,Safe,True,0.99200480336971,High,Low,False,0.9851752307545533,Medium,No Risk,False,0.9679061114091515
Ozokerite,Ozokerite,Occlusive,Wax,Mineral,Approved,Safe,Safe,True,0.9948594543024287,Low,Low,True,0.9978752192147988,No Risk,No Risk,True,0.9771520851890032
Microcrystalline Wax,Microcrystalline Wax,Occlusive,Wax,Mineral,Approved,Safe,Safe,True,0.9887263798065745,Low,Low,True,0.9967309240924719,No Risk,No Risk,True,0.9956339089508983
Paraffin Wax,Paraffin Wax,Occlusive,Wax,Mineral,Approved,Safe,Safe,True,0.9799344769338706,Low,Low,True,0.9947267990227475,No Risk,No Risk,True,0.9660860390773528
Polybutene,Polybutene,Occlusive,Polymer,Synthetic,Approved,Safe,Safe,True,0.9818879044588453,Low,Low,True,0.9959430142931889,No Risk,No Risk,True,0.9913621055043554
Sodium Lauryl Sulfate,Sodium Lauryl Sulfate,Surfactant,Surfactant,Synthetic,Approved,Moderate Risk,Safe,False,0.9783376157188409,Medium,Medium,True,0.9488844462554986,High,Medium,False,0.802000438674521
Sodium Laureth Sulfate,Sodium Laureth Sulfate,Surfactant,Surfactant,Synthetic,Approved,Safe,Safe,True,0.8463520100372832,Medium,Medium,True,0.9634437355895363,Medium,Medium,True,0.4655941372473101
Ammonium Lauryl Sulfate,Ammonium Lauryl Sulfate,Surfactant,Surfactant,Synthetic,Approved,Safe,Safe,True,0.8061934867374263,Medium,Medium,True,0.9081392833256805,Medium,Medium,True,0.6897576998125616
Ammonium Laureth Sulfate,Ammonium Laureth Sulfate,Surfactant,Surfactant,Synthetic,Approved,Safe,Safe,True,0.9667820923217215,Medium,Medium,True,0.9621037079307057,Medium,Medium,True,0.9626040008906616
Cocamidopropyl Betaine,Cocamidopropyl Betaine,Surfactant,Surfactant,Naturally Derived,Approved,Safe,Safe,True,0.9922295403138842,Medium,Medium,True,0.67365906789871,Low,Low,True,0.9295458512407091
Coco-Betaine,Coco-Betaine,Surfactant,Surfactant,Naturally Derived,Approved,Safe,Safe,True,0.9904430340005813,Low,Low,True,0.8253173773045918,Low,Low,True,0.5515921381117611
Disodium Cocoamphodiacetate,Disodium Cocoamphodiacetate,Surfactant,Surfactant,Naturally Derived,Approved,Safe,Safe,True,0.7485392939724522,Low,Low,True,0.9939442095906199,Low,Low,True,0.9647428018633658
Sodium Cocoyl Isethionate,Sodium Cocoyl Isethionate,Cleansing Agent,Surfactant,Naturally Derived,Approved,Safe,Safe,True,0.9920299775359319,Low,Low,True,0.9952019229071241,Low,Low,True,0.6256391188352961
Sodium Cocoyl Glycinate,Sodium Cocoyl Glycinate,Cleansing Agent,Surfactant,Naturally Derived,Approved,Safe,Safe,True,0.9685176779478144,Low,Low,True,0.960228602982905,Low,No Risk,False,0.979484262972478
Decyl Glucoside,Decyl Glucoside,Surfactant,Surfactant,Naturally Derived,Approved,Very Safe,Safe,False,0.9907745056976273,Low,Low,True,0.9982835818559781,No Risk,Low,False,0.6935460225662501
Coco-Glucoside,Coco-Glucoside,Surfactant,Surfactant,Naturally Derived,Approved,Very Safe,Safe,False,0.9859958056091269,Low,Low,True,0.9341427284457936,No Risk,Low,False,0.8961891690777358
Lauryl Glucoside,Lauryl Glucoside,Surfactant,Surfactant,Naturally Derived,Approved,Safe,Safe,True,0.9926588421968963,Low,Low,True,0.9838399720480461,Low,Low,True,0.9264317044226362
Sodium Lauroyl Sarcosinate,Sodium Lauroyl Sarcosinate,Surfactant,Surfactant,Synthetic,Approved,Safe,Safe,True,0.7205638199736426,Low,Medium,False,0.6585724601536154,Low,Low,True,0.5504746379676757
Sodium Methyl Cocoyl Taurate,Sodium Methyl Cocoyl Taurate,Surfactant,Surfactant,Naturally Derived,Approved,Safe,Safe,True,0.6658548206437175,Low,Low,True,0.8409683343797302,Low,Low,True,0.9086723225367965
Cocamide DEA,Cocamide DEA,Surfactant,Surfactant,Synthetic,Restricted,Moderate Risk,Moderate Risk,True,0.9250943621639098,Medium,Medium,True,0.9978511710679104,Medium,Medium,True,0.961209313144444
Cocamide MEA,Cocamide MEA,Surfactant,Surfactant,Synthetic,Approved,Safe,Safe,True,0.971653508939027,Medium,Medium,True,0.8350071260892682,Low,Medium,False,0.7143762318671888
Lauramide DEA,Lauramide DEA,Surfactant,Surfactant,Synthetic,Restricted,Moderate Risk,Moderate Risk,True,0.9173757984791008,Medium,Medium,True,0.8669338322638902,Medium,Medium,True,0.9860416010891405
PEG-7 Glyceryl Cocoate,PEG-7 Glyceryl Cocoate,Surfactant,Surfactant,Naturally Derived,Approved,Safe,Safe,True,0.8722093983069238,Low,Low,True,0.9395582424055335,No Risk,Low,False,0.9313808954807042
Polysorbate 20,Polysorbate 20,Emulsifier,Surfactant,Synthetic,Approved,Safe,Safe,True,0.9998301056837656,Low,Low,True,0.8648770111357991,No Risk,No Risk,True,0.6647785088981711
