Ingredient_Name,Primary_Function,Ingredient_Category,Product_Categories,Origin,Safety_Level,Allergy_Risk,Irritation_Risk,Regulatory_Status,Packaging Names / Alternate Names
Cyclopentasiloxane,Emollient,Silicone,"Serum, Primer, Conditioner",Synthetic,Safe,Low,No Risk,Country Restricted,No Alternate Names
Cyclohexasiloxane,Emollient,Silicone,"Serum, Primer",Synthetic,Safe,Low,No Risk,Country Restricted,No Alternate Names
Isohexadecane,Emollient,Emollient,"Sunscreen, Foundation",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Octyldodecanol,Emollient,Fatty Alcohol,"Cream, Lip Balm, Foundation",Synthetic,Safe,Low,Low,Approved,No Alternate Names
PPG-15 Stearyl Ether,Emollient,Emollient,"Moisturizer, Cream",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Butyl Stearate,Emollient,Emollient,"Cream, Lipstick",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Isononyl Isononanoate,Emollient,Emollient,"Sunscreen, Serum",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
C12-15 Alkyl Benzoate,Emollient,Emollient,"Sunscreen, Serum, Foundation",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Diisopropyl Adipate,Emollient,Emollient,"Sunscreen, Lip Balm",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Dicaprylyl Carbonate,Emollient,Emollient,"Sunscreen, Serum, Cream",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Ethylhexyl Palmitate,Emollient,Emollient,"Sunscreen, Foundation, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Glyceryl Stearate,Emulsifier,Emulsifier,"Cream, Lotion, Conditioner",Naturally Derived,Very Safe,Low,No Risk,Approved,No Alternate Names
Olea Europaea Fruit Oil (Olive Oil),Emollient,Oil,"Soap, Hair Oil, Body Oil, Moisturizer",Natural,Safe,Low,No Risk,Approved,Olive Oil
Helianthus Annuus Seed Oil (Sunflower Oil),Emollient,Oil,"Body Oil, Face Oil, Moisturizer, Baby Oil",Natural,Very Safe,Low,No Risk,Approved,Sunflower Oil
Sesamum Indicum Seed Oil (Sesame Oil),Emollient,Oil,"Hair Oil, Body Oil, Massage Oil",Natural,Safe,Medium,Low,Approved,Sesame Oil
Ricinus Communis Seed Oil (Castor Oil),Emollient,Oil,"Hair Oil, Lip Balm, Castor Oil Products, Mascara",Natural,Safe,Low,Low,Approved,Castor Oil
Vitis Vinifera Seed Oil (Grapeseed Oil),Emollient,Oil,"Face Oil, Body Oil, Serum",Natural,Very Safe,Low,No Risk,Approved,Grapeseed Oil
Prunus Armeniaca Kernel Oil (Apricot Kernel Oil),Emollient,Oil,"Face Oil, Body Oil, Scrub",Natural,Safe,Low,No Risk,Approved,Apricot Kernel Oil
Persea Gratissima Oil (Avocado Oil),Emollient,Oil,"Face Oil, Body Butter, Hair Mask",Natural,Safe,Low,No Risk,Approved,Avocado Oil
Oryza Sativa Bran Oil (Rice Bran Oil),Emollient,Oil,"Face Oil, Body Lotion, Serum",Natural,Safe,Low,No Risk,Approved,Rice Bran Oil
Macadamia Ternifolia Seed Oil,Emollient,Oil,"Hair Oil, Body Oil",Natural,Safe,Low,No Risk,Approved,No Alternate Names
Limnanthes Alba Seed Oil (Meadowfoam Seed Oil),Emollient,Oil,"Face Oil, Serum",Natural,Safe,Low,No Risk,Approved,Meadowfoam Seed Oil
Carthamus Tinctorius Seed Oil (Safflower Oil),Emollient,Oil,"Body Oil, Cream",Natural,Safe,Low,No Risk,Approved,Safflower Oil
Triticum Vulgare Germ Oil (Wheat Germ Oil),Emollient,Oil,"Face Oil, Serum, Hair Oil",Natural,Safe,Medium,Low,Approved,Wheat Germ Oil
Oenothera Biennis Oil (Evening Primrose Oil),Emollient,Oil,"Face Oil, Capsule Serum, Moisturizer",Natural,Safe,Low,No Risk,Approved,Evening Primrose Oil
Rosa Canina Fruit Oil (Rosehip Oil),Emollient,Oil,"Face Oil, Serum, Anti-Aging Products",Natural,Safe,Low,No Risk,Approved,Rosehip Oil
Sclerocarya Birrea Seed Oil (Marula Oil),Emollient,Oil,"Face Oil, Hair Oil, Serum",Natural,Safe,Low,No Risk,Approved,Marula Oil
Calophyllum Inophyllum Seed Oil (Tamanu Oil),Emollient,Oil,"Face Oil, Body Oil",Natural,Safe,Low,Low,Approved,Tamanu Oil
Azadirachta Indica Seed Oil (Neem Oil),Antimicrobial,Oil,"Face Wash, Soap, Hair Oil, Anti-Acne Products",Natural,Safe,Medium,Low,Approved,Neem Oil
Garcinia Indica Seed Butter (Kokum Butter),Emollient,Butter,"Body Butter, Lip Balm, Cream",Natural,Safe,Low,No Risk,Approved,Kokum Butter
Mangifera Indica Seed Butter (Mango Butter),Emollient,Butter,"Body Butter, Lip Balm, Moisturizer",Natural,Safe,Low,No Risk,Approved,Mango Butter
Shorea Robusta Seed Butter (Illipe Butter),Emollient,Butter,"Body Butter, Lip Balm",Natural,Safe,Low,No Risk,Approved,Illipe Butter
Astrocaryum Murumuru Seed Butter,Emollient,Butter,"Hair Mask, Body Butter",Natural,Safe,Low,No Risk,Approved,No Alternate Names
Cannabis Sativa Seed Oil (Hemp Seed Oil),Emollient,Oil,"Face Oil, Body Oil, Serum",Natural,Safe,Low,No Risk,Country Restricted,Hemp Seed Oil
Linum Usitatissimum Seed Oil (Flaxseed Oil),Emollient,Oil,"Face Oil, Hair Oil",Natural,Safe,Low,No Risk,Approved,Flaxseed Oil
Cucurbita Pepo Seed Oil (Pumpkin Seed Oil),Emollient,Oil,"Face Oil, Serum",Natural,Safe,Low,No Risk,Approved,Pumpkin Seed Oil
Juglans Regia Seed Oil (Walnut Oil),Emollient,Oil,"Body Scrub, Face Oil",Natural,Safe,Medium,Low,Approved,Walnut Oil
Citrullus Lanatus Seed Oil (Watermelon Seed Oil),Emollient,Oil,"Face Oil, Serum",Natural,Safe,Low,No Risk,Approved,Watermelon Seed Oil
Camellia Oleifera Seed Oil,Emollient,Oil,"Hair Oil, Face Oil",Natural,Safe,Low,No Risk,Approved,No Alternate Names
Adansonia Digitata Seed Oil (Baobab Oil),Emollient,Oil,"Body Oil, Face Oil",Natural,Safe,Low,No Risk,Approved,Baobab Oil
Aleurites Moluccanus Seed Oil (Kukui Nut Oil),Emollient,Oil,"Body Oil, Hair Oil",Natural,Safe,Low,No Risk,Approved,Kukui Nut Oil
Brassica Oleracea Italica Seed Oil (Broccoli Seed Oil),Emollient,Oil,"Hair Serum, Face Oil",Natural,Safe,Low,No Risk,Approved,Broccoli Seed Oil
Salvia Hispanica Seed Oil (Chia Seed Oil),Emollient,Oil,"Face Oil, Serum",Natural,Safe,Low,No Risk,Approved,Chia Seed Oil
Punica Granatum Seed Oil (Pomegranate Seed Oil),Emollient,Oil,"Face Oil, Serum, Anti-Aging Products",Natural,Safe,Low,No Risk,Approved,Pomegranate Seed Oil
Nigella Sativa Seed Oil (Black Cumin Seed Oil),Emollient,Oil,"Hair Oil, Face Oil",Natural,Safe,Medium,Low,Approved,Black Cumin Seed Oil
Beeswax (Cera Alba),Occlusive,Wax,"Lip Balm, Cream, Lip Mask",Animal Derived,Safe,Medium,No Risk,Approved,Cera Alba
Candelilla Wax (Euphorbia Cerifera),Occlusive,Wax,"Lipstick, Lip Balm, Cream",Natural,Safe,Low,No Risk,Approved,Euphorbia Cerifera
Carnauba Wax (Copernicia Cerifera),Occlusive,Wax,"Lipstick, Mascara, Nail Polish",Natural,Safe,Low,No Risk,Approved,Copernicia Cerifera
Lanolin,Occlusive,Wax,"Lip Balm, Nipple Cream, Postpartum Care Products",Animal Derived,Safe,High,Medium,Approved,No Alternate Names
Ozokerite,Occlusive,Wax,"Lipstick, Cream",Mineral,Safe,Low,No Risk,Approved,No Alternate Names
Microcrystalline Wax,Occlusive,Wax,"Lipstick, Cream, Hair Wax",Mineral,Safe,Low,No Risk,Approved,No Alternate Names
Paraffin Wax,Occlusive,Wax,"Lip Balm, Foot Cream, Cream",Mineral,Safe,Low,No Risk,Approved,No Alternate Names
Polybutene,Occlusive,Polymer,"Lip Gloss, Mascara",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Sodium Lauryl Sulfate,Surfactant,Surfactant,"Shampoo, Face Wash, Body Wash, Toothpaste",Synthetic,Moderate Risk,Medium,High,Approved,No Alternate Names
Sodium Laureth Sulfate,Surfactant,Surfactant,"Shampoo, Body Wash, Face Wash",Synthetic,Safe,Medium,Medium,Approved,No Alternate Names
Ammonium Lauryl Sulfate,Surfactant,Surfactant,"Shampoo, Body Wash",Synthetic,Safe,Medium,Medium,Approved,No Alternate Names
Ammonium Laureth Sulfate,Surfactant,Surfactant,"Shampoo, Body Wash",Synthetic,Safe,Medium,Medium,Approved,No Alternate Names
Cocamidopropyl Betaine,Surfactant,Surfactant,"Shampoo, Face Wash, Body Wash, Hand Wash",Naturally Derived,Safe,Medium,Low,Approved,No Alternate Names
Coco-Betaine,Surfactant,Surfactant,"Body Wash, Face Wash",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Disodium Cocoamphodiacetate,Surfactant,Surfactant,"Baby Shampoo, Face Wash",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Sodium Cocoyl Isethionate,Cleansing Agent,Surfactant,"Cleansing Bar, Face Wash",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Sodium Cocoyl Glycinate,Cleansing Agent,Surfactant,"Face Wash, Body Wash",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Decyl Glucoside,Surfactant,Surfactant,"Face Wash, Baby Shampoo, Intimate Wash",Naturally Derived,Very Safe,Low,No Risk,Approved,No Alternate Names
Coco-Glucoside,Surfactant,Surfactant,"Face Wash, Body Wash",Naturally Derived,Very Safe,Low,No Risk,Approved,No Alternate Names
Lauryl Glucoside,Surfactant,Surfactant,"Face Wash, Shampoo",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Sodium Lauroyl Sarcosinate,Surfactant,Surfactant,"Toothpaste, Shampoo, Face Wash",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Sodium Methyl Cocoyl Taurate,Surfactant,Surfactant,"Face Wash, Shampoo",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Cocamide DEA,Surfactant,Surfactant,"Shampoo, Body Wash",Synthetic,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
Cocamide MEA,Surfactant,Surfactant,"Shampoo, Body Wash",Synthetic,Safe,Medium,Low,Approved,No Alternate Names
Lauramide DEA,Surfactant,Surfactant,Shampoo,Synthetic,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
PEG-7 Glyceryl Cocoate,Surfactant,Surfactant,"Face Wash, Micellar Water",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Polysorbate 20,Emulsifier,Surfactant,"Toner, Micellar Water, Serum",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Polysorbate 80,Emulsifier,Surfactant,"Lotion, Serum",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Sorbitan Oleate,Emulsifier,Surfactant,"Cream, Lotion",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Sodium Lauryl Sulfoacetate,Surfactant,Surfactant,"Toothpaste, Bath Bomb",Synthetic,Safe,Low,Medium,Approved,No Alternate Names
Disodium Laureth Sulfosuccinate,Surfactant,Surfactant,"Baby Shampoo, Face Wash",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Sodium C14-16 Olefin Sulfonate,Surfactant,Surfactant,"Body Wash, Shampoo",Synthetic,Safe,Medium,Medium,Approved,No Alternate Names
TEA-Lauryl Sulfate,Surfactant,Surfactant,"Shampoo, Body Wash",Synthetic,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
Potassium Cocoate,Cleansing Agent,Surfactant,"Liquid Soap, Face Wash",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Sodium Tallowate,Cleansing Agent,Surfactant,Soap,Animal Derived,Safe,Low,Low,Approved,No Alternate Names
Sodium Palmate,Cleansing Agent,Surfactant,Soap,Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Sodium Cocoate,Cleansing Agent,Surfactant,Soap,Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Sodium Laureth-3 Sulfate,Surfactant,Surfactant,"Shampoo, Body Wash",Synthetic,Safe,Medium,Medium,Approved,No Alternate Names
Sodium C12-15 Pareth Sulfate,Surfactant,Surfactant,"Shampoo, Body Wash",Synthetic,Safe,Medium,Medium,Approved,No Alternate Names
Disodium Cocoamphodipropionate,Surfactant,Surfactant,"Baby Wash, Intimate Wash",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Cocamidopropyl Hydroxysultaine,Surfactant,Surfactant,"Shampoo, Body Wash",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Sodium Cocoyl Glutamate,Cleansing Agent,Surfactant,"Face Wash, Cleansing Balm",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Sodium Lauroyl Glutamate,Cleansing Agent,Surfactant,Face Wash,Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Potassium Cocoyl Glycinate,Cleansing Agent,Surfactant,"Face Wash, Baby Wash",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Lauryl Betaine,Surfactant,Surfactant,"Shampoo, Hand Wash",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Cocamidopropylamine Oxide,Surfactant,Surfactant,"Shampoo, Body Wash",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
PEG-100 Stearate,Emulsifier,Emulsifier,"Cream, Lotion",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Cetearyl Glucoside,Emulsifier,Emulsifier,"Cream, Lotion, Conditioner",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Sorbitan Stearate,Emulsifier,Emulsifier,"Cream, Lotion",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Polyglyceryl-3 Methylglucose Distearate,Emulsifier,Emulsifier,"Cream, Body Butter",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Steareth-20,Emulsifier,Emulsifier,"Cream, Lotion",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Steareth-2,Emulsifier,Emulsifier,"Cream, Lotion",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Ceteareth-20,Emulsifier,Emulsifier,"Cream, Lotion, Sunscreen",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Lecithin,Emulsifier,Phospholipid,"Lip Balm, Cream, Cleansing Balm",Natural,Safe,Low,No Risk,Approved,No Alternate Names
Polyglyceryl-4 Caprate,Emulsifier,Emulsifier,"Serum, Cream",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Glyceryl Caprylate,Emulsifier,Preservative Booster,"Cream, Serum",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Emulsifying Wax NF,Emulsifier,Wax,"Cream, Lotion",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Dimethiconol,Conditioning Agent,Silicone,"Conditioner, Hair Serum",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Amodimethicone,Conditioning Agent,Silicone,"Conditioner, Hair Mask, Hair Serum",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Phenyl Trimethicone,Emollient,Silicone,"Hair Serum, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Trimethylsiloxysilicate,Film Former,Silicone,"Sunscreen, Foundation",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Dimethicone Crosspolymer,Texturizer,Silicone,"Primer, Foundation",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Simethicone,Anti-foaming Agent,Silicone,"Cream, Lotion",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
PEG/PPG-18/18 Dimethicone,Emulsifier,Silicone,"Cream, Sunscreen",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Cetyl Dimethicone,Emollient,Silicone,"Sunscreen, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Dimethicone Copolyol,Emulsifier,Silicone,"Conditioner, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Stearyl Dimethicone,Emollient,Silicone,"Hair Serum, Conditioner",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
PEG-8 Dimethicone,Emulsifier,Silicone,"Sunscreen, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Cyclotetrasiloxane,Emollient,Silicone,"Serum, Primer",Synthetic,Moderate Risk,Low,No Risk,Country Restricted,No Alternate Names
Bis-Aminopropyl Dimethicone,Conditioning Agent,Silicone,"Hair Mask, Conditioner",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Stearic Acid,Emulsifier,Fatty Acid,"Cream, Soap, Lotion",Naturally Derived,Very Safe,Low,No Risk,Approved,No Alternate Names
Palmitic Acid,Emollient,Fatty Acid,"Cream, Soap",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Myristic Acid,Emollient,Fatty Acid,"Soap, Cream",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Lauric Acid,Antimicrobial,Fatty Acid,"Soap, Cream",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Oleic Acid,Emollient,Fatty Acid,"Cream, Soap, Body Oil",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Linoleic Acid,Emollient,Fatty Acid,"Face Oil, Serum",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Isostearic Acid,Emollient,Fatty Acid,"Cream, Lipstick",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Camellia Sinensis Leaf Extract (Green Tea),Botanical Extract,Botanical Extract,"Serum, Toner, Face Mask, Under Eye Cream",Natural,Safe,Low,No Risk,Approved,Green Tea
Centella Asiatica Extract (Cica),Botanical Extract,Botanical Extract,"Serum, Cream, Face Mask, After Sun Gel",Natural,Safe,Low,No Risk,Approved,Cica
Chamomilla Recutita Flower Extract (Chamomile),Botanical Extract,Botanical Extract,"Toner, Baby Lotion, Face Mask",Natural,Safe,Medium,No Risk,Approved,Chamomile
Calendula Officinalis Flower Extract,Botanical Extract,Botanical Extract,"Baby Cream, Toner, Diaper Rash Cream",Natural,Safe,Low,No Risk,Approved,No Alternate Names
Curcuma Longa Root Extract (Turmeric),Botanical Extract,Botanical Extract,"Face Wash, Face Pack, Serum",Natural,Safe,Low,No Risk,Approved,Turmeric
Azadirachta Indica Leaf Extract (Neem),Botanical Extract,Botanical Extract,"Face Wash, Soap, Anti-Acne Products",Natural,Safe,Low,No Risk,Approved,Neem
Ocimum Sanctum Leaf Extract (Tulsi),Botanical Extract,Botanical Extract,"Face Wash, Toothpaste, Hair Oil",Natural,Safe,Low,No Risk,Approved,Tulsi
Glycyrrhiza Glabra Root Extract (Licorice),Botanical Extract,Botanical Extract,"Serum, Cream, Brightening Products",Natural,Safe,Low,No Risk,Approved,Licorice
Cucumis Sativus Fruit Extract (Cucumber),Botanical Extract,Botanical Extract,"Toner, Face Mist, Eye Gel",Natural,Safe,Low,No Risk,Approved,Cucumber
Rosa Damascena Flower Water (Rose Water),Botanical Extract,Botanical Extract,"Toner, Face Mist, Face Pack",Natural,Safe,Low,No Risk,Approved,Rose Water
Hamamelis Virginiana Extract (Witch Hazel),Botanical Extract,Botanical Extract,"Toner, Acne Products",Natural,Safe,Low,Low,Approved,Witch Hazel
