Ingredient Name,Category,Safety Level,Allergy Risk,Health Impact,Processing Level,Regulatory Status,Packaging Names / Alternate Names
Puffed Rice (Murmura),Cereals & Grains,Very Safe,,Positive,Minimally Processed,Approved,puffed rice; murmura; mamra; lai; लाई
Corn Starch,Flour & Starch,Safe,,Neutral,Processed,Approved,corn starch; cornstarch; corn flour (British usage); maize starch
Tapioca Starch,Flour & Starch,Safe,,Neutral,Processed,Approved,tapioca starch; tapioca flour; कसावा स्टार्च
Potato Starch,Flour & Starch,Safe,,Neutral,Processed,Approved,potato starch; aloo starch
Modified Starch,Flour & Starch,Moderate,,Neutral,Highly Processed,Approved,modified starch; modified food starch; modified corn starch
Arrowroot Starch,Flour & Starch,Safe,,Neutral,Processed,Approved,arrowroot starch; arrowroot powder; tikhur
Wheat Starch,Flour & Starch,Safe,Medium,Neutral,Processed,Approved,wheat starch
Rice Starch,Flour & Starch,Safe,,Neutral,Processed,Approved,rice starch
Sago (Sabudana),Flour & Starch,Safe,,Neutral,Processed,Approved,sago; sabudana; tapioca pearls; साबूदाना
Maltodextrin,Flour & Starch,Moderate,,Negative,Highly Processed,Approved,maltodextrin; INS 1400
Dextrose Monohydrate,Flour & Starch,Safe,,Negative,Processed,Approved,dextrose monohydrate; dextrose; glucose; corn sugar; grape sugar
Vital Wheat Gluten,Flour & Starch,Safe,High,Neutral,Processed,Approved,vital wheat gluten; wheat gluten; seitan protein
Corn Flour,Flour & Starch,Safe,,Neutral,Processed,Approved,corn flour; maize flour; makka atta
Rice Bran Flour,Flour & Starch,Safe,,Neutral,Processed,Approved,rice bran flour
Chestnut Flour,Flour & Starch,Safe,,Neutral,Processed,Approved,chestnut flour
Sorghum Flour,Flour & Starch,Safe,,Neutral,Processed,Approved,sorghum flour; jowar flour; jowar atta; ज्वार का आटा
Chickpea Flour (Besan),Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,chickpea flour; besan; gram flour; बेसन
Soy Flour,Pulses & Legumes,Very Safe,Medium,Positive,Minimally Processed,Approved,soy flour; soya flour; सोया आटा
Green Gram (Moong Dal),Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,green gram; moong dal; mung bean; moong; मूंग दाल
Red Lentils (Masoor Dal),Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,red lentils; masoor dal; masoor; मसूर दाल
Yellow Split Peas (Chana Dal),Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,chana dal; split bengal gram; yellow split peas; बंगाल चना दाल
Black Gram (Urad Dal),Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,black gram; urad dal; urad; उड़द दाल
Pigeon Pea (Toor Dal),Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,pigeon pea; toor dal; arhar dal; तूर दाल; अरहर दाल
Kidney Beans (Rajma),Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,kidney beans; rajma; राजमा
Black-Eyed Peas (Lobia),Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,black-eyed peas; lobia; chawli; लोबिया
Green Peas,Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,green peas; matar; हरी मटर
Soybean,Pulses & Legumes,Very Safe,Medium,Positive,Minimally Processed,Approved,soybean; soya bean; soya; सोयाबीन
Horse Gram (Kulthi),Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,horse gram; kulthi; kulith; कुलथी
Lentil Flour,Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,lentil flour; dal flour
Pea Flour,Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,pea flour; matar ka atta
Mung Bean Starch,Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,mung bean starch; moong starch
Chickpea Protein,Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,chickpea protein; gram protein
White Peas (Matar),Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,white peas; safed matar; dried white peas
Soy Chunks (Textured Vegetable Protein),Pulses & Legumes,Very Safe,Medium,Positive,Processed,Approved,soy chunks; soya chunks; textured vegetable protein; TVP; meal maker; soya nuggets
Bengal Gram,Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,bengal gram; chana; desi chana; चना
Red Kidney Bean Flour,Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,red kidney bean flour; rajma flour
Soy Protein Isolate,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,soy protein isolate; soya protein isolate; SPI
Soy Protein Concentrate,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,soy protein concentrate; soya protein concentrate; SPC
Whey Protein Isolate,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,whey protein isolate; WPI
Whey Protein Concentrate,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,whey protein concentrate; WPC
Casein Protein,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,casein protein; casein; milk casein
Pea Protein Isolate,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,pea protein isolate; pea protein
Rice Protein,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,rice protein; rice protein concentrate
Egg White Powder,Protein Sources,Safe,High,Positive,Highly Processed,Approved,egg white powder; dried egg white; albumen powder; egg albumin
Collagen Peptides,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,collagen peptides; hydrolyzed collagen; collagen hydrolysate
Milk Protein Concentrate,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,milk protein concentrate; MPC
Hydrolyzed Whey Protein,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,hydrolyzed whey protein; hydrolysed whey protein
Wheat Gluten Protein,Protein Sources,Safe,High,Positive,Highly Processed,Approved,wheat gluten protein; wheat gluten; seitan
Textured Vegetable Protein,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,textured vegetable protein; TVP; soya chunks; meal maker
Soy Nuggets,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,soy nuggets; soya nuggets; mini soya chunks
Whey Protein Hydrolysate,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,whey protein hydrolysate; hydrolysed whey protein
Palm Oil,Vegetable Oils,Moderate,,Negative,Processed,Approved with Limits,palm oil; palm olein
Sunflower Oil,Vegetable Oils,Safe,,Neutral,Processed,Approved,sunflower oil; surajmukhi tel
Soybean Oil,Vegetable Oils,Safe,,Neutral,Processed,Approved,soybean oil; soya oil; soyabean tel
Mustard Oil,Vegetable Oils,Safe,,Neutral,Processed,Approved,mustard oil; sarson ka tel; kachi ghani oil
Rice Bran Oil,Vegetable Oils,Safe,,Neutral,Processed,Approved,rice bran oil
Groundnut Oil,Vegetable Oils,Safe,High,Neutral,Processed,Approved,groundnut oil; peanut oil; mungfali tel
Coconut Oil,Vegetable Oils,Moderate,,Neutral,Processed,Approved,coconut oil; nariyal tel
Vanaspati (Hydrogenated Vegetable Oil),Vegetable Oils,Risky,,Very Negative,Ultra Processed,Approved,vanaspati; hydrogenated vegetable oil; hydrogenated vegetable fat; vanaspati ghee
Sesame Oil,Vegetable Oils,Safe,High,Neutral,Processed,Approved,sesame oil; til oil; gingelly oil
Cottonseed Oil,Vegetable Oils,Moderate,,Negative,Processed,Approved,cottonseed oil; kapas tel; banaspati cotton oil
Olive Oil,Vegetable Oils,Safe,,Neutral,Processed,Approved,olive oil
Canola Oil,Vegetable Oils,Safe,,Neutral,Processed,Approved,canola oil; rapeseed oil (low erucic)
Palm Kernel Oil,Vegetable Oils,Safe,,Neutral,Processed,Approved,palm kernel oil
Corn Oil,Vegetable Oils,Safe,,Neutral,Processed,Approved,corn oil; maize oil
Interesterified Vegetable Fat,Vegetable Oils,Moderate,,Negative,Ultra Processed,Approved,interesterified vegetable fat; interesterified fat
Full Cream Milk Powder,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,full cream milk powder; whole milk powder; FCMP
Skimmed Milk Powder,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,skimmed milk powder; SMP; skim milk powder; non-fat dry milk
Milk Solids Non-Fat,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,milk solids non-fat; MSNF; non-fat milk solids
Ghee,Dairy Ingredients,Safe,Low,Neutral,Processed,Approved,ghee; clarified butter; घी
Butter,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,butter; makkhan; मक्खन
Cream,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,cream; milk cream; malai; क्रीम
Cheese,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,cheese; processed cheese; cheddar cheese
Paneer,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,paneer; indian cottage cheese; पनीर
Curd Culture,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,curd culture; yogurt culture; dahi culture; starter culture
Whey Powder,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,whey powder; dried whey; sweet whey powder
Milk Fat,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,milk fat; butterfat
Casein,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,casein; milk casein
Lactose,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,lactose; milk sugar
Buttermilk Powder,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,buttermilk powder; dried buttermilk
Condensed Milk,Dairy Ingredients,Moderate,Medium,Negative,Processed,Approved,condensed milk; sweetened condensed milk
Khoya (Mawa),Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,khoya; mawa; खोया; मावा
Milk Protein,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,milk protein; total milk protein
Sodium Caseinate,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,sodium caseinate; caseinate
Calcium Caseinate,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,calcium caseinate
Whipping Cream,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,whipping cream; whipped cream base
Anhydrous Milk Fat,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,anhydrous milk fat; AMF
Dairy Whitener,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,dairy whitener; milk whitener; whitener powder
Malted Milk Powder,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,malted milk powder; malt milk powder
Cultured Buttermilk,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,cultured buttermilk; chaas culture; छाछ
Rennet Casein,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,rennet casein
Mango Pulp,Fruits,Very Safe,,Positive,Minimally Processed,Approved,mango pulp; aam pulp; आम गूदा
Apple Pulp,Fruits,Very Safe,,Positive,Minimally Processed,Approved,apple pulp; apple puree
Orange Juice Concentrate,Fruits,Very Safe,,Positive,Minimally Processed,Approved,orange juice concentrate; OJ concentrate
Raisins,Fruits,Very Safe,,Positive,Minimally Processed,Approved,raisins; kishmish; किशमिश
Dried Fig,Fruits,Very Safe,,Positive,Minimally Processed,Approved,dried fig; dried anjeer; सूखा अंजीर
Dates,Fruits,Very Safe,,Positive,Minimally Processed,Approved,dates; khajoor; खजूर
Dried Apricot,Fruits,Very Safe,,Positive,Minimally Processed,Approved,dried apricot; dried khumani; सूखी खुबानी
Pineapple Chunks,Fruits,Very Safe,,Positive,Minimally Processed,Approved,pineapple chunks; annanas pieces
Strawberry Puree,Fruits,Very Safe,,Positive,Minimally Processed,Approved,strawberry puree
Grape Juice Concentrate,Fruits,Very Safe,,Positive,Minimally Processed,Approved,grape juice concentrate
Pomegranate Juice,Fruits,Very Safe,,Positive,Minimally Processed,Approved,pomegranate juice; anar juice
Lemon Juice Concentrate,Fruits,Very Safe,,Positive,Minimally Processed,Approved,lemon juice concentrate; nimbu ras concentrate
Lime Juice,Fruits,Very Safe,,Positive,Minimally Processed,Approved,lime juice; nimbu ras
Banana Puree,Fruits,Very Safe,,Positive,Minimally Processed,Approved,banana puree; kela puree
Guava Pulp,Fruits,Very Safe,,Positive,Minimally Processed,Approved,guava pulp; amrud pulp
Papaya Pulp,Fruits,Very Safe,,Positive,Minimally Processed,Approved,papaya pulp; papita pulp
Litchi Pulp,Fruits,Very Safe,,Positive,Minimally Processed,Approved,litchi pulp; lychee pulp
Blueberry Puree,Fruits,Very Safe,,Positive,Minimally Processed,Approved,blueberry puree
Dried Cranberries,Fruits,Very Safe,,Positive,Minimally Processed,Approved,dried cranberries; craisins
Kiwi Puree,Fruits,Very Safe,,Positive,Minimally Processed,Approved,kiwi puree
Watermelon Juice,Fruits,Very Safe,,Positive,Minimally Processed,Approved,watermelon juice; tarbooz juice
Apricot Puree,Fruits,Very Safe,,Positive,Minimally Processed,Approved,apricot puree
Peach Puree,Fruits,Very Safe,,Positive,Minimally Processed,Approved,peach puree; aadu puree
Black Currant Extract,Fruits,Very Safe,,Positive,Minimally Processed,Approved,black currant extract
Tamarind Pulp,Fruits,Very Safe,,Positive,Minimally Processed,Approved,tamarind pulp; imli pulp; इमली गूदा
Amla (Indian Gooseberry) Extract,Fruits,Very Safe,,Positive,Minimally Processed,Approved,amla extract; indian gooseberry extract; आंवला
Jackfruit Pulp,Fruits,Very Safe,,Positive,Minimally Processed,Approved,jackfruit pulp; kathal pulp
Custard Apple Pulp,Fruits,Very Safe,,Positive,Minimally Processed,Approved,custard apple pulp; sitaphal pulp
Passion Fruit Pulp,Fruits,Very Safe,,Positive,Minimally Processed,Approved,passion fruit pulp; krishna phal pulp
Fig Paste,Fruits,Very Safe,,Positive,Minimally Processed,Approved,fig paste; anjeer paste
Prune Puree,Fruits,Very Safe,,Positive,Minimally Processed,Approved,prune puree; dried plum puree
Coconut Milk,Fruits,Very Safe,,Positive,Minimally Processed,Approved,coconut milk; nariyal doodh
Coconut Water,Fruits,Very Safe,,Positive,Minimally Processed,Approved,coconut water; nariyal pani
Candied Orange Peel,Fruits,Very Safe,,Positive,Minimally Processed,Approved,candied orange peel; orange peel confit
Pear Puree,Fruits,Very Safe,,Positive,Minimally Processed,Approved,pear puree; nashpati puree
Tomato Paste,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,tomato paste; tamatar paste
Onion Powder,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,onion powder; pyaz powder
Garlic Powder,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,garlic powder; lehsun powder
Potato Flakes,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,potato flakes; aloo flakes; dehydrated mashed potato
Carrot Powder,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,carrot powder; gajar powder
Spinach Powder,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,spinach powder; palak powder
Beetroot Powder,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,beetroot powder; chukandar powder
Ginger Paste,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,ginger paste; adrak paste
Green Chilli Paste,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,green chilli paste; hari mirch paste
Capsicum (Bell Pepper),Vegetables,Very Safe,,Positive,Minimally Processed,Approved,capsicum; bell pepper; shimla mirch
Cauliflower,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,cauliflower; gobi; phool gobi
Dried Peas,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,dried peas; sukhi matar
Mushroom Powder,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,mushroom powder; khumb powder
Pumpkin Puree,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,pumpkin puree; kaddu puree
Sweet Potato,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,sweet potato; shakarkand
Tomato Powder,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,tomato powder; tamatar powder
Onion Flakes,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,onion flakes; dehydrated onion; pyaz flakes
Garlic Flakes,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,garlic flakes; dehydrated garlic; lehsun flakes
Dried Coriander Leaves,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,dried coriander leaves; dried dhania patta; kasuri dhania
Dried Curry Leaves,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,dried curry leaves; dried kadi patta; dried meetha neem
Fenugreek Leaves (Kasuri Methi),Vegetables,Very Safe,,Positive,Minimally Processed,Approved,fenugreek leaves; kasuri methi; dried methi leaves
Tamarind Paste,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,tamarind paste; imli paste
Dry Ginger Powder (Sonth),Vegetables,Very Safe,,Positive,Minimally Processed,Approved,dry ginger powder; sonth; saunth
Red Bell Pepper Powder,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,red bell pepper powder; lal shimla mirch powder
Cabbage,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,cabbage; patta gobi; bandh gobi
Broccoli Powder,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,broccoli powder
Sweet Corn,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,sweet corn; makai dana
Baby Corn,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,baby corn
Green Beans,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,green beans; french beans; farasbean
Bottle Gourd,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,bottle gourd; lauki; doodhi
Bitter Gourd Powder,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,bitter gourd powder; karela powder
Radish,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,radish; mooli
Turnip,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,turnip; shalgam
Zucchini,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,zucchini; courgette
Celery,Vegetables,Very Safe,,Positive,Minimally Processed,Approved,celery
Peanuts,Nuts & Seeds,Safe,High,Positive,Natural,Approved,peanuts; groundnuts; mungfali; मूंगफली
Almonds,Nuts & Seeds,Safe,High,Very Positive,Natural,Approved,almonds; badam; बादाम
Cashew Nuts,Nuts & Seeds,Safe,High,Positive,Natural,Approved,cashew nuts; kaju; काजू
Sesame Seeds,Nuts & Seeds,Safe,High,Positive,Natural,Approved,sesame seeds; til; तिल
Flax Seeds,Nuts & Seeds,Safe,Low,Very Positive,Natural,Approved,flax seeds; alsi; अलसी
Walnuts,Nuts & Seeds,Safe,High,Positive,Natural,Approved,walnuts; akhrot; अखरोट
Pistachios,Nuts & Seeds,Safe,High,Positive,Natural,Approved,pistachios; pista; पिस्ता
Sunflower Seeds,Nuts & Seeds,Safe,High,Positive,Natural,Approved,sunflower seeds; surajmukhi beej
Pumpkin Seeds,Nuts & Seeds,Safe,High,Positive,Natural,Approved,pumpkin seeds; kaddu ke beej
Chia Seeds,Nuts & Seeds,Safe,Low,Very Positive,Natural,Approved,chia seeds
Poppy Seeds (Khus Khus),Nuts & Seeds,Safe,Medium,Positive,Natural,Approved,poppy seeds; khus khus; posto; खसखस
Melon Seeds (Magaz),Nuts & Seeds,Safe,High,Positive,Natural,Approved,melon seeds; magaz; muskmelon seeds; चार मगज
Pine Nuts,Nuts & Seeds,Safe,High,Positive,Natural,Approved,pine nuts; chilgoza; चिलगोज़ा
Hazelnuts,Nuts & Seeds,Safe,High,Positive,Natural,Approved,hazelnuts
Watermelon Seeds,Nuts & Seeds,Safe,High,Positive,Natural,Approved,watermelon seeds; tarbooz beej
Turmeric,Herbs & Spices,Very Safe,,Positive,Natural,Approved,turmeric; haldi; हल्दी
Black Pepper,Herbs & Spices,Very Safe,,Positive,Natural,Approved,black pepper; kali mirch; काली मिर्च
Cumin,Herbs & Spices,Very Safe,,Positive,Natural,Approved,cumin; jeera; जीरा
Red Chilli Powder,Herbs & Spices,Very Safe,,Positive,Natural,Approved,red chilli powder; lal mirch powder; लाल मिर्च पाउडर
Coriander Seed,Herbs & Spices,Very Safe,,Positive,Natural,Approved,coriander seed; dhania; धनिया
Fennel Seeds,Herbs & Spices,Very Safe,,Positive,Natural,Approved,fennel seeds; saunf; सौंफ
Fenugreek Seeds,Herbs & Spices,Very Safe,,Positive,Natural,Approved,fenugreek seeds; methi dana; मेथी दाना
Mustard Seeds,Herbs & Spices,Very Safe,,Positive,Natural,Approved,mustard seeds; rai; sarson; राई
Green Cardamom,Herbs & Spices,Very Safe,,Positive,Natural,Approved,green cardamom; elaichi; choti elaichi; हरी इलायची
Black Cardamom,Herbs & Spices,Very Safe,,Positive,Natural,Approved,black cardamom; badi elaichi; काली इलायची
Cinnamon,Herbs & Spices,Very Safe,,Positive,Natural,Approved,cinnamon; dalchini; दालचीनी
Cloves,Herbs & Spices,Very Safe,,Positive,Natural,Approved,cloves; laung; लौंग
Nutmeg,Herbs & Spices,Very Safe,,Positive,Natural,Approved,nutmeg; jaiphal; जायफल
Mace,Herbs & Spices,Very Safe,,Positive,Natural,Approved,mace; javitri; जावित्री
Star Anise,Herbs & Spices,Very Safe,,Positive,Natural,Approved,star anise; chakra phool; चक्र फूल
Bay Leaf,Herbs & Spices,Very Safe,,Positive,Natural,Approved,bay leaf; tej patta; तेज पत्ता
Asafoetida (Hing),Herbs & Spices,Very Safe,Low,Positive,Natural,Approved,asafoetida; hing; हींग
Ajwain (Carom Seeds),Herbs & Spices,Very Safe,,Positive,Natural,Approved,ajwain; carom seeds; अजवाइन
Dry Ginger,Herbs & Spices,Very Safe,,Positive,Natural,Approved,dry ginger; sonth; saunth (whole)
Dry Mango Powder (Amchur),Herbs & Spices,Very Safe,,Positive,Natural,Approved,dry mango powder; amchur; आमचूर
Black Salt (Kala Namak),Herbs & Spices,Very Safe,,Neutral,Natural,Approved,black salt; kala namak; काला नमक
Rock Salt,Herbs & Spices,Very Safe,,Neutral,Natural,Approved,rock salt; sendha namak; सेंधा नमक
Curry Powder,Herbs & Spices,Very Safe,,Positive,Natural,Approved,curry powder
Garam Masala,Herbs & Spices,Very Safe,,Positive,Natural,Approved,garam masala; गरम मसाला
Paprika,Herbs & Spices,Very Safe,,Positive,Natural,Approved,paprika
Dried Basil,Herbs & Spices,Very Safe,,Positive,Natural,Approved,dried basil
Oregano,Herbs & Spices,Very Safe,,Positive,Natural,Approved,oregano
Thyme,Herbs & Spices,Very Safe,,Positive,Natural,Approved,thyme
Rosemary,Herbs & Spices,Very Safe,,Positive,Natural,Approved,rosemary
Dried Mint,Herbs & Spices,Very Safe,,Positive,Natural,Approved,dried mint; dried pudina; सूखा पुदीना
Saffron,Herbs & Spices,Very Safe,,Positive,Natural,Approved,saffron; kesar; केसर
Vanilla Pods,Herbs & Spices,Very Safe,,Positive,Natural,Approved,vanilla pods; vanilla beans
Tamarind (Whole),Herbs & Spices,Very Safe,,Positive,Natural,Approved,tamarind; imli; इमली
Kokum,Herbs & Spices,Very Safe,,Positive,Natural,Approved,kokum; कोकम
Sichuan Pepper,Herbs & Spices,Very Safe,,Positive,Natural,Approved,sichuan pepper; szechuan pepper
White Pepper,Herbs & Spices,Very Safe,,Positive,Natural,Approved,white pepper; safed mirch; सफ़ेद मिर्च
Chaat Masala,Herbs & Spices,Very Safe,,Positive,Natural,Approved,chaat masala; चाट मसाला
Pav Bhaji Masala,Herbs & Spices,Very Safe,,Positive,Natural,Approved,pav bhaji masala
Sambar Masala,Herbs & Spices,Very Safe,,Positive,Natural,Approved,sambar masala; sambhar powder
Rasam Powder,Herbs & Spices,Very Safe,,Positive,Natural,Approved,rasam powder; rasam masala
Tandoori Masala,Herbs & Spices,Very Safe,,Positive,Natural,Approved,tandoori masala
Chicken Masala,Herbs & Spices,Very Safe,,Positive,Natural,Approved,chicken masala
Pickling Spice Mix,Herbs & Spices,Very Safe,,Positive,Natural,Approved,pickling spice mix; achar masala
Panch Phoron,Herbs & Spices,Very Safe,,Positive,Natural,Approved,panch phoron; bengali five spice mix
Kalonji (Nigella Seeds),Herbs & Spices,Very Safe,,Positive,Natural,Approved,kalonji; nigella seeds; kalaunji; कलौंजी
Celery Seeds,Herbs & Spices,Very Safe,,Positive,Natural,Approved,celery seeds
Dill Seeds,Herbs & Spices,Very Safe,,Positive,Natural,Approved,dill seeds; sowa seeds; suva
Caraway Seeds,Herbs & Spices,Very Safe,,Positive,Natural,Approved,caraway seeds; shia jeera; शिया जीरा
Anise Seed,Herbs & Spices,Very Safe,,Positive,Natural,Approved,anise seed
Long Pepper (Pippali),Herbs & Spices,Very Safe,,Positive,Natural,Approved,long pepper; pippali; पिप्पली
Sucrose (Sugar),Sweeteners,Moderate,,Negative,Processed,Approved,sucrose; sugar; cane sugar; refined sugar; चीनी
Fructose,Sweeteners,Safe,,Neutral,Processed,Approved,fructose; fruit sugar
Glucose Syrup,Sweeteners,Moderate,,Negative,Processed,Approved,glucose syrup; liquid glucose; corn syrup
Honey,Sweeteners,Safe,,Positive,Processed,Approved,honey; shahad; शहद
Jaggery,Sweeteners,Safe,,Neutral,Processed,Approved,jaggery; gur; गुड़
High Fructose Corn Syrup,Sweeteners,Risky,,Very Negative,Highly Processed,Approved with Limits,high fructose corn syrup; HFCS
Invert Sugar Syrup,Sweeteners,Moderate,,Negative,Processed,Approved,invert sugar syrup; invert syrup
Maltose,Sweeteners,Safe,,Neutral,Processed,Approved,maltose; malt sugar
Brown Sugar,Sweeteners,Moderate,,Negative,Processed,Approved,brown sugar
Palm Sugar,Sweeteners,Safe,,Neutral,Processed,Approved,palm sugar; taad gur; ताड़ गुड़
Date Sugar,Sweeteners,Safe,,Positive,Processed,Approved,date sugar; khajoor sugar
